,HostelName,VenueName,Category,VenueLatitude,VenueLongitude
0,"""Bike & Bed"" CharinCo Hostel",Lawson (ローソン S OSL谷町四丁目駅北店),Convenience Store,34.68328199825528,135.5172810026211
1,"""Bike & Bed"" CharinCo Hostel",モナコ,Café,34.683210075530376,135.51730935176383
2,"""Bike & Bed"" CharinCo Hostel",7-Eleven (セブンイレブン 大阪谷町3丁目店),Convenience Store,34.683508578438584,135.51779300305793
3,"""Bike & Bed"" CharinCo Hostel",McDonald's (マクドナルド 地下鉄谷町四丁目店),Fast Food Restaurant,34.68310895834122,135.51744347863053
4,"""Bike & Bed"" CharinCo Hostel",City Plaza Osaka (シティプラザ大阪),Hotel,34.6840196102966,135.5102063698131
5,"""Bike & Bed"" CharinCo Hostel",APA Villa Hotel Osaka-Tanimachi 4-chome Ekimae (アパヴィラホテル大阪谷町四丁目駅前),Hotel,34.68122853822919,135.5164723942608
6,"""Bike & Bed"" CharinCo Hostel",大阪産業創造館,Event Space,34.68358010069431,135.50931912676432
7,"""Bike & Bed"" CharinCo Hostel",Lawson (ローソン 和泉町店),Convenience Store,34.67990484571978,135.51199283208888
8,"""Bike & Bed"" CharinCo Hostel",Yoshinoya (吉野家 大手前店),Donburi Restaurant,34.6862304,135.5170001
9,"""Bike & Bed"" CharinCo Hostel",東横イン 大阪谷四交差点,Bed & Breakfast,34.681052778986995,135.5170621341725
10,"""Bike & Bed"" CharinCo Hostel",FamilyMart (ファミリーマート 谷町三丁目店),Convenience Store,34.68340677223307,135.51702116910008
11,"""Bike & Bed"" CharinCo Hostel",7-Eleven (セブンイレブン 大阪内久宝寺町４丁目店),Convenience Store,34.67885694376033,135.51410168409348
12,"""Bike & Bed"" CharinCo Hostel",FamilyMart (ファミリーマート 谷町四丁目店),Convenience Store,34.680990281555495,135.51706337544675
13,"""Bike & Bed"" CharinCo Hostel",7-Eleven (セブンイレブン 大阪農人橋1丁目店),Convenience Store,34.68114856090276,135.51458941715373
14,"""Bike & Bed"" CharinCo Hostel",カフェ・ベローチェ 谷町二丁目店,Coffee Shop,34.684541,135.51761
15,"""Bike & Bed"" CharinCo Hostel",FamilyMart Higuchi (ファミリーマート+薬ヒグチ 谷町二丁目店),Convenience Store,34.685733483798536,135.51747292242155
16,"""Bike & Bed"" CharinCo Hostel",Sukiya (すき家 谷町三丁目店),Donburi Restaurant,34.68323148242853,135.51748443970124
17,"""Bike & Bed"" CharinCo Hostel",Ramen 辻,Ramen Restaurant,34.682768686909235,135.5158362889006
18,"""Bike & Bed"" CharinCo Hostel",Lawson (ローソン 谷町三丁目西店),Convenience Store,34.68285583,135.5170226
19,"""Bike & Bed"" CharinCo Hostel",Boulangerie & Café goût 谷町四丁目店,Bakery,34.68340923245086,135.5160712518326
20,"""Bike & Bed"" CharinCo Hostel",Lawson (ローソン 谷町四丁目店),Convenience Store,34.6804128687387,135.517517798776
21,"""Bike & Bed"" CharinCo Hostel",mouton valcitta,Italian Restaurant,34.68338447972342,135.51696440470084
22,"""Bike & Bed"" CharinCo Hostel",中大江公園,Park,34.68526,135.51381
23,"""Bike & Bed"" CharinCo Hostel",Brewpub Têtard Vallée (brewpub Têtard Vallée (テタールヴァレ)),Pub,34.68591133793742,135.5168109229627
24,"""Bike & Bed"" CharinCo Hostel",Marugame Seimen (丸亀製麺 谷町二丁目店),Udon Restaurant,34.684672,135.517653
25,"""Bike & Bed"" CharinCo Hostel",Greenberry's COFFEE 谷町店,Café,34.68549622750423,135.51736803256676
26,"""Bike & Bed"" CharinCo Hostel",グリル stereo,Yoshoku Restaurant,34.68230376789277,135.5172421023535
27,"""Bike & Bed"" CharinCo Hostel",Hotel the Lutheran (ホテル・ザ・ルーテル),Hotel,34.683339352109286,135.51898826080742
28,"""Bike & Bed"" CharinCo Hostel",CoCo Ichibanya (CoCo壱番屋 中央区谷町二丁目店),Japanese Curry Restaurant,34.68489433776088,135.51728627076807
29,"""Bike & Bed"" CharinCo Hostel",7-Eleven (セブンイレブン 大阪谷町2丁目店),Convenience Store,34.684537954874905,135.51733581205792
30,"""Bike & Bed"" CharinCo Hostel",nidomi,Japanese Curry Restaurant,34.68237269839398,135.51199053350496
31,"""Bike & Bed"" CharinCo Hostel",7-Eleven (セブンイレブン 大阪内本町1丁目店),Convenience Store,34.68323191447045,135.51580665482686
32,"""Bike & Bed"" CharinCo Hostel",万両 堺筋本町店,BBQ Joint,34.680076700961074,135.5104699730873
33,"""Bike & Bed"" CharinCo Hostel",中央線 谷町四丁目駅 2番線ホーム,Platform,34.68112649159766,135.5169448204751
34,"""Bike & Bed"" CharinCo Hostel",FamilyMart (ファミリーマート 内久宝寺町四丁目店),Convenience Store,34.67899531831986,135.51225806018897
35,"""Bike & Bed"" CharinCo Hostel",Ministop (ミニストップ 谷町3丁目店),Convenience Store,34.68382462759353,135.51733753665027
36,"""Bike & Bed"" CharinCo Hostel",Torikizoku (鳥貴族 谷町四丁目店),Sake Bar,34.682134,135.517558
