,Name,City,StartPrice,DistanceFromCityCentre,OverallScore,RatingCategory,Atmosphere,Cleanliness,Facilities,Location,Security,Staff,ValueForMoney,Longitude,Latitude
2,&And Hostel Akihabara,Tokyo,3600,7.8,8.7,Fabulous,8.0,7.0,9.0,8.0,10.0,10.0,9.0,139.77747240000002,35.6974473
3,&And Hostel Ueno,Tokyo,2600,8.7,7.4,Very Good,8.0,7.5,7.5,7.5,7.0,8.0,6.5,139.78366699999998,35.712716
4,&And Hostel-Asakusa North-,Tokyo,1500,10.5,9.4,Superb,9.5,9.5,9.0,9.0,9.5,10.0,9.5,139.7983712,35.7278979
5,1night1980hostel Tokyo,Tokyo,2100,9.4,7.0,Very Good,5.5,8.0,6.0,6.0,8.5,8.5,6.5,139.7869499,35.724384
6,328 Hostel & Lounge,Tokyo,3300,16.5,9.3,Superb,8.7,9.7,9.3,9.1,9.3,9.7,8.9,139.74546719999998,35.5480439
9,Ace Inn Shinjuku,Tokyo,2200,3.0,7.7,Very Good,6.7,7.2,6.8,8.5,7.8,8.5,8.1,139.72430359999998,35.6925119
11,Aizuya Inn,Tokyo,2000,10.6,8.5,Fabulous,8.1,8.3,8.4,7.8,8.9,9.1,8.9,139.800993,35.727546999999994
12,Akihabara Hotel 3000,Tokyo,2200,8.0,10.0,Superb,10.0,10.0,10.0,10.0,10.0,10.0,10.0,139.779382,35.6974904
13,Almond hostel & cafe Shibuya,Tokyo,2900,2.2,9.3,Superb,9.1,9.5,8.8,9.5,9.4,9.7,9.0,139.68753519999999,35.6700092
14,Anne Hostel Asakusabashi,Tokyo,2000,8.9,9.1,Superb,8.8,9.2,8.7,9.0,9.1,9.5,9.2,139.7893595,35.6989448
15,Anne Hostel Yokozuna,Tokyo,1800,9.5,9.1,Superb,8.8,9.1,9.0,9.2,9.3,9.3,9.2,139.79679769999998,35.6954897
17,ARTnSHELTER,Tokyo,2400,10.5,8.3,Fabulous,8.2,8.1,7.7,7.9,9.1,9.0,8.3,139.742108,35.604242
18,AS House (Asakusa Smile),Tokyo,1600,10.0,7.8,Very Good,7.9,6.2,7.0,9.0,8.2,8.0,8.3,139.800616,35.707363
19,Asakusa Hostel Toukaisou,Tokyo,1300,9.3,8.9,Fabulous,7.9,9.4,8.3,9.5,9.2,8.9,9.2,139.79081000000002,35.713177
20,Asakusa Ryokan Toukaisou,Tokyo,3600,9.3,8.7,Fabulous,8.0,8.4,8.4,8.8,8.8,9.4,8.8,139.79081000000002,35.713177
21,Asakusahotel Wasou,Tokyo,2000,9.9,9.4,Superb,8.7,9.3,9.0,9.7,10.0,10.0,9.3,139.7966971,35.7118769
22,Astro Station,Tokyo,3500,3.8,8.4,Fabulous,7.1,9.1,8.0,9.7,7.1,8.6,8.9,139.7036929,35.7143962
26,Backpackers Hostel K's House Tokyo,Tokyo,2100,9.2,9.2,Superb,9.1,9.3,9.0,8.6,9.5,9.6,9.0,139.79225300000002,35.705065999999995
29,Beagle Tokyo Hostel & Apartments,Tokyo,3800,16.1,9.0,Superb,8.0,10.0,9.0,8.0,9.0,9.0,10.0,139.74107780000003,35.5504924
39,Book And Bed Tokyo Asakusa,Tokyo,4100,9.6,9.1,Superb,8.7,9.7,8.6,9.4,9.5,9.3,8.6,139.79498059999997,35.7107965
41,Book And Bed Tokyo Ikebukuro,Tokyo,4100,4.9,8.2,Fabulous,8.9,8.0,8.0,9.1,7.7,8.6,7.4,139.7085388,35.731080799999994
42,Bunka Hostel Tokyo,Tokyo,2200,9.5,9.3,Superb,8.8,9.3,9.3,9.5,9.4,9.8,9.2,139.79322,35.712108
47,Capsule Inn Kinshichou,Tokyo,2600,10.9,8.6,Fabulous,6.0,10.0,8.0,8.0,10.0,8.0,10.0,139.81198,35.6981223
49,Capsule Value Kanda,Tokyo,3000,7.1,8.6,Fabulous,8.0,8.7,7.3,9.3,8.7,9.3,8.7,139.77076369999997,35.689595399999995
52,Centurion Hotel Residential Akasaka,Tokyo,2600,4.5,9.0,Superb,7.5,9.3,9.3,9.3,9.5,8.9,9.0,139.7376971,35.6738463
53,Centurion Ladies Hostel Uenopark (Female only),Tokyo,2500,7.4,8.9,Fabulous,7.7,8.9,9.1,9.1,9.3,8.9,9.3,139.770129,35.709199
55,CITAN Hostel,Tokyo,2500,8.1,9.4,Superb,9.3,9.8,9.5,9.1,9.5,9.6,9.3,139.781352,35.691571
