,HostelName,VenueName,Category,VenueLatitude,VenueLongitude
70,&And Hostel Akihabara,Akihabara Station (秋葉原駅),Train Station,35.698357154071296,139.7731203585863
71,&And Hostel Akihabara,Yodobashi-Akiba (ヨドバシカメラ マルチメディアAkiba),Electronics Store,35.6987131,139.7747612
72,&And Hostel Akihabara,THE IDOLM@STER Official Shop (アイドルマスター オフィシャルショップ),Toy / Game Store,35.69836386063336,139.77229786003596
73,&And Hostel Akihabara,JR Sōbu Line Akihabara Station (JR 総武線 秋葉原駅),Train Station,35.698358444031356,139.77328760273127
74,&And Hostel Akihabara,Akihabara Electric Town Exit (秋葉原駅 電気街口),Train Station,35.69881848574108,139.77257002539486
75,&And Hostel Akihabara,Shosen Book Tower (書泉ブックタワー),Bookstore,35.697324,139.775157
76,&And Hostel Akihabara,HUB,Pub,35.700042797337176,139.77398936790024
77,&And Hostel Akihabara,Volks Doll Point (ボークス ドールポイント 秋葉原),Hobby Shop,35.69791261646235,139.77204330018
78,&And Hostel Akihabara,Sarutahiko Coffee (猿田彦珈琲),Coffee Shop,35.69846977490889,139.77235928177834
79,&And Hostel Akihabara,Gyoza Ohsho Express (餃子の王将 Express),Dumpling Restaurant,35.69849046799201,139.77223992347717
80,&And Hostel Akihabara,Milk Stand (ミルクスタンド),Juice Bar,35.69838992357802,139.7729447934095
81,&And Hostel Akihabara,Izakaya Wagaya (居酒屋 和が家),Sake Bar,35.696188057278185,139.77506428956985
82,&And Hostel Akihabara,CHABARA (ちゃばら),Gourmet Shop,35.69970202241145,139.77308068378443
83,&And Hostel Akihabara,MAZERU (麺処 MAZERU),Ramen Restaurant,35.697924,139.774406
84,&And Hostel Akihabara,HUB,Pub,35.697975,139.774209
85,&And Hostel Akihabara,MILK SHOP LUCK 酪,Juice Bar,35.69842031462254,139.77332726002533
86,&And Hostel Akihabara,Active AKIBA Batting Center (アクティブAKIBAバッティングセンター),Athletics & Sports,35.69871524674489,139.77457483629485
87,&And Hostel Akihabara,Tonbe (とんべェ),Sake Bar,35.698958,139.775153
88,&And Hostel Akihabara,ライフ 神田和泉町店,Supermarket,35.69984975984281,139.77996544005146
89,&And Hostel Akihabara,Pop Life Department M's (大人のデパート エムズ),Adult Boutique,35.697656699506034,139.7724960818333
90,&And Hostel Akihabara,Tokyo Tonteki (東京トンテキ),Steakhouse,35.69865481171322,139.77464672142534
91,&And Hostel Akihabara,Mimatsu Tobacco (ミマツたばこ),Smoke Shop,35.69726977111137,139.77300703525543
92,&And Hostel Akihabara,Mita Seimenjo (三田製麺所),Ramen Restaurant,35.69869304210099,139.77448225021362
93,&And Hostel Akihabara,日本百貨店 しょくひんかん,Gourmet Shop,35.69981345583291,139.77315333214005
94,&And Hostel Akihabara,Fukunoken (福の軒),Ramen Restaurant,35.69789366688633,139.7749376599205
95,&And Hostel Akihabara,Aoshima Shokudo (青島食堂),Ramen Restaurant,35.697483688824704,139.77886967360973
96,&And Hostel Akihabara,82 ALE HOUSE,Pub,35.69793214396875,139.7739636599719
97,&And Hostel Akihabara,Yun Rin Bou (雲林坊),Chinese Restaurant,35.695506,139.772773
98,&And Hostel Akihabara,Go Go Curry (ゴーゴーカレー),Japanese Curry Restaurant,35.6976419280583,139.7746378183365
99,&And Hostel Akihabara,立ち飲み 串吟,Sake Bar,35.6975834955742,139.77360286799347
100,&And Hostel Akihabara,Curry wa Nomimono (カレーは飲み物。),Japanese Curry Restaurant,35.700855,139.775837
101,&And Hostel Akihabara,CoCo Ichibanya (CoCo壱番屋),Japanese Curry Restaurant,35.698447,139.775764
102,&And Hostel Akihabara,Shimonya (四文屋),Sake Bar,35.69844656325336,139.7762417793274
103,&And Hostel Akihabara,Uogashi Nihon-ichi (魚がし日本一),Sushi Restaurant,35.698465655355,139.77224101969006
104,&And Hostel Akihabara,Oasis @akiba (オアシス@akiba),Public Bathroom,35.69889488142114,139.77385526890643
105,&And Hostel Akihabara,ヨドバシAkiba カメラコーナー,Camera Store,35.698501359086244,139.77463245391846
106,&And Hostel Akihabara,なぜ蕎麦にラー油を入れるのか。,Soba Restaurant,35.700392,139.77582
107,&And Hostel Akihabara,The French Toast Factory,Café,35.69868079250966,139.7746425271058
108,&And Hostel Akihabara,Marufuku Coffee (丸福珈琲店),Café,35.69861025537081,139.7743035386268
109,&And Hostel Akihabara,Hakata Furyu (博多風龍),Ramen Restaurant,35.698367,139.775223
110,&And Hostel Akihabara,CLUB GOODMAN,Rock Club,35.697186,139.77647
111,&And Hostel Akihabara,Yonpachi Gyojo (四十八漁場),Sake Bar,35.69835,139.7748
112,&And Hostel Akihabara,Spaghetti Pancho (スパゲッティーのパンチョ),Yoshoku Restaurant,35.698566,139.775248
113,&And Hostel Akihabara,PABLO mini,Dessert Shop,35.6981292298426,139.772000722316
114,&And Hostel Akihabara,Shiina no Gohan Rice Ball Factory (シイナノゴハン),Japanese Restaurant,35.693821,139.774221
115,&And Hostel Akihabara,Craft Beer Bar IBREW,Beer Bar,35.697896,139.777132
116,&And Hostel Akihabara,Shinpuku Saikan (新福菜館),Ramen Restaurant,35.700047,139.77634
117,&And Hostel Akihabara,Sushiya Ginzo (すし屋 銀蔵),Sushi Restaurant,35.697414,139.773269
118,&And Hostel Akihabara,FamilyMart (ファミリーマート),Convenience Store,35.70040074316624,139.7741550207138
119,&And Hostel Akihabara,BEEF KITCHEN STAND,Gastropub,35.698117645777465,139.77648746516283
120,&And Hostel Akihabara,DOLK TOKYO,Toy / Game Store,35.696217276351945,139.77365831960776
121,&And Hostel Akihabara,Akihabara Washington Hotel (秋葉原ワシントンホテル),Hotel,35.69729026029478,139.77380633354187
122,&And Hostel Akihabara,Echigoya Heiji (越後屋 平次),Diner,35.69893589042251,139.77445838196886
123,&And Hostel Akihabara,Motenashi Kuroki (饗 くろ㐂),Ramen Restaurant,35.698799,139.780138
124,&And Hostel Akihabara,Baskin-Robbins (サーティワンアイスクリーム),Ice Cream Shop,35.697963337253476,139.77378085255623
125,&And Hostel Akihabara,Hamakatsu (とんかつ濵かつ),Tonkatsu Restaurant,35.698562642173364,139.7744671809323
